Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Beijing,,9.32,7.96,9.75,8.93,9.05,8.29,7.48,8.06,8.17
Tianjin,,7.37,5.84,8.19,8.28,8.75,8.58,8.18,8.3,8.13
Hebei,,12.42,11.35,13.18,13.04,12.88,13.02,13.22,12.93,13.04
Shanxi,,10.29,9.98,10.92,10.81,10.7,10.47,10.68,10.87,11.32
Nei Mongol,,9.03,7.72,9.31,8.98,9.17,8.94,9.3,9.57,9.81
Liaoning,,6.6,6.17,6.49,6.09,6.15,5.71,6.68,6.06,6.32
Jilin,,5.55,5.87,6.62,5.36,5.73,6.53,7.91,6.69,6.65
Heilongjiang,,6.12,6,7.37,6.86,7.3,6.99,7.35,7.48,7.91
Shanghai,,9,7.52,8.35,8.18,9.56,6.97,7.05,8.64,8.89
Jiangsu,,9.76,9.05,9.45,9.44,9.44,9.59,9.73,9.55,9.34
Zhejiang,,11.22,10.52,10.51,10.01,10.12,9.47,10.27,10.22,10.2
Anhui,,13.02,12.92,12.86,12.88,13,12.23,12.7,13.07,13.05
Fujian,,14.5,13.9,13.7,12.2,12.74,11.41,11.27,12.2,12.2
Jiangxi,,13.45,13.2,13.24,13.19,13.46,13.48,13.72,13.87,13.92
Shandong,,17.89,12.55,14.23,11.41,11.9,11.5,11.65,11.7,11.25
Henan,,13.26,12.7,12.8,12.27,11.87,11.56,11.52,11.45,11.42
Hubei,,12.04,10.74,11.86,11.08,11,10.39,10.36,9.48,9.21
Hunan,,13.57,13.58,13.52,13.5,13.58,13.35,13.1,13.05,12.68
Guangdong,,11.85,11.12,10.8,10.71,11.6,10.45,11.18,11.78,11.8
Guangxi,,13.82,14.05,14.07,14.28,14.2,13.71,14.13,14.17,14.4
Hainan,,14.57,14.57,14.56,14.59,14.66,14.72,14.71,14.66,14.71
Chongqing,,11.77,11.05,10.67,10.37,10.86,9.88,9.17,9.9,10.1
Sichuan,,10.48,10.3,10.22,9.9,9.89,9.79,8.93,9.15,9.54
Guizhou,,13.43,13,12.98,13.05,13.27,13.31,13.96,13.65,13.49
Yunnan,,13.16,12.88,12.65,12.6,12.63,12.71,13.1,12.53,12.63
Xizang,,15.79,15.75,15.76,15.77,15.48,15.39,15.8,15.31,15.5
Shaanxi,,10.64,10.1,10.13,10.01,10.12,9.75,9.73,10.24,10.29
Gansu,,12.18,12.36,12.21,12.16,12.11,12.08,12.05,13.32,13.22
Qinghai,,14.7,14.72,14.67,14.16,14.3,14.43,14.94,14.51,14.49
Ningxia Hui,,13.69,12.62,13.1,13.12,13.26,13.65,14.14,14.38,14.31
Xinjiang Uygur,,15.34,15.59,16.44,15.84,15.32,14.99,15.99,15.99,16.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,
