,Region,Province,Long,Lat
1,Guangzhou,Guangdong Province,113.23333,23.16667
2,Nanning,Guangxi Zhuang Autonomous Region,108.19,22.48
3,Haikou,Hainan Province,110.35,20.01667
4,Guiyang,Guizhou Province,106.71667,26.56667
5,Kunming,Yunnan Province,102.73333,25.05
6,Fuzhou,Fujian Province,119.3,26.08333
8,Lhasa,Tibet Autonomous Region,91,29.6
9,Chongqing,Chongqing Municipality,106.45,29.56667
10,Chengdu,Sichuan Province,104.06667,30.66667
11,Changsha,Hunan Province,113,28.21667
12,Hefei,Anhui Province,117.17,31.52
13,Wuhan,Hubei Province,114.17,30.35
14,Nanchang,Jiangxi Province,115.9,28.68333
15,Shanghai,Shanghai Municipality,121.43333,34.5
16,Hangzhou,Zhejiang Province,120.2,30.26667
17,Xi'an,Shanxi Province,112.33,37.54
18,Zhengzhou,Henan Province,113.65,34.76667
19,Nanjing,Jiangsu Province,118.78333,32.05
20,Xining,Qinghai Province,101.75,36.56667
21,Yinchuan,Ningxia Hui Autonomous Region,106.26667,38.46667
22,Beijing,Beijing Municipality,116.41667,39.91667
23,Shijiazhuang,Hebei Province,114.48333,38.03333
24,Tianjin,Tianjin Municipality,117.2,39.13333
25,Urumqi,Xinjiang Uygur Autonomous Region,87.68333,43.76667
26,Hohhot,Inner Mongolia Autonomous Region,111.41,40.48
27,Changchun,Jilin Province,125.19,43.54
28,Shenyang,Liaoning Province,123.38333,41.8
29,Harbin,Heilongjiang Province,126.63333,45.75
